Month,Region,Channel,Marketing Spend (€),Competitor Sales Jacquet (€),Competitor Sales La Boulangère (€)
2023-01-01,Paris,Online,12000,55000,45000
2023-01-01,Paris,Membership,15000,60000,50000
2023-01-01,Paris,Retail,20000,85000,70000
2023-01-01,South France,Online,8000,35000,30000
2023-01-01,South France,Membership,10000,40000,35000
2023-01-01,South France,Retail,14000,60000,50000
2023-02-01,Paris,Online,12500,57000,47000
2023-02-01,Paris,Membership,15500,62000,52000
2023-02-01,Paris,Retail,20500,87000,72000
2023-02-01,South France,Online,8200,36000,31000
2023-02-01,South France,Membership,10200,41000,36000
2023-02-01,South France,Retail,14200,61000,51000
2023-03-01,Paris,Online,13000,59000,49000
2023-03-01,Paris,Membership,16000,64000,54000
2023-03-01,Paris,Retail,21000,89000,74000
2023-03-01,South France,Online,8400,37000,32000
2023-03-01,South France,Membership,10400,42000,37000
2023-03-01,South France,Retail,14400,62000,52000
2023-04-01,Paris,Online,13500,61000,51000
2023-04-01,Paris,Membership,16500,66000,56000
2023-04-01,Paris,Retail,21500,91000,76000
2023-04-01,South France,Online,8600,38000,33000
2023-04-01,South France,Membership,10600,43000,38000
2023-04-01,South France,Retail,14600,63000,53000
2023-05-01,Paris,Online,14000,63000,53000
2023-05-01,Paris,Membership,17000,68000,58000
2023-05-01,Paris,Retail,22000,93000,78000
2023-05-01,South France,Online,8800,39000,34000
2023-05-01,South France,Membership,10800,44000,39000
2023-05-01,South France,Retail,14800,64000,54000
2023-06-01,Paris,Online,14500,65000,55000
2023-06-01,Paris,Membership,17500,70000,60000
2023-06-01,Paris,Retail,22500,95000,80000
2023-06-01,South France,Online,9000,40000,35000
2023-06-01,South France,Membership,11000,45000,40000
2023-06-01,South France,Retail,15000,65000,55000
2023-07-01,Paris,Online,15000,67000,57000
2023-07-01,Paris,Membership,18000,72000,62000
2023-07-01,Paris,Retail,23000,97000,82000
2023-07-01,South France,Online,9200,41000,36000
2023-07-01,South France,Membership,11200,46000,41000
2023-07-01,South France,Retail,15200,66000,56000
2023-08-01,Paris,Online,15500,69000,59000
2023-08-01,Paris,Membership,18500,74000,64000
2023-08-01,Paris,Retail,23500,99000,84000
2023-08-01,South France,Online,9400,42000,37000
2023-08-01,South France,Membership,11400,47000,42000
2023-08-01,South France,Retail,15400,67000,57000
2023-09-01,Paris,Online,16000,71000,61000
2023-09-01,Paris,Membership,19000,76000,66000
2023-09-01,Paris,Retail,24000,101000,86000
2023-09-01,South France,Online,9600,43000,38000
2023-09-01,South France,Membership,11600,48000,43000
2023-09-01,South France,Retail,15600,68000,58000
2023-10-01,Paris,Online,16500,73000,63000
2023-10-01,Paris,Membership,19500,78000,68000
2023-10-01,Paris,Retail,24500,103000,88000
2023-10-01,South France,Online,9800,44000,39000
2023-10-01,South France,Membership,11800,49000,44000
2023-10-01,South France,Retail,15800,69000,59000
2023-11-01,Paris,Online,17000,75000,65000
2023-11-01,Paris,Membership,20000,80000,70000
2023-11-01,Paris,Retail,25000,105000,90000
2023-11-01,South France,Online,10000,45000,40000
2023-11-01,South France,Membership,12000,50000,45000
2023-11-01,South France,Retail,16000,70000,60000
2023-12-01,Paris,Online,17500,77000,67000
2023-12-01,Paris,Membership,20500,82000,72000
2023-12-01,Paris,Retail,25500,107000,92000
2023-12-01,South France,Online,10200,46000,41000
2023-12-01,South France,Membership,12200,51000,46000
2023-12-01,South France,Retail,16200,71000,61000
